"HEURE_ACCDN","DT_ACCDN","NB_VICTIMES_TOTAL"
"16:00:00-16:59:00","2017/08/28",1
"Non précisé","2017/08/28",1
"18:00:00-18:59:00","2017/08/31",1
"16:00:00-16:59:00","2017/09/05",1
"05:00:00-05:59:00","2017/09/06",1
"17:00:00-17:59:00","2017/09/12",1
"16:00:00-16:59:00","2017/09/12",1
"20:00:00-20:59:00","2017/09/15",1
"15:00:00-15:59:00","2017/09/18",1
"07:00:00-07:59:00","2017/09/19",1
"19:00:00-19:59:00","2017/09/21",1
"16:00:00-16:59:00","2017/09/23",1
"15:00:00-15:59:00","2017/09/25",1
"16:00:00-16:59:00","2017/09/25",1
"14:00:00-14:59:00","2017/09/30",1
"18:00:00-18:59:00","2017/10/02",0
"19:00:00-19:59:00","2017/10/11",1
"11:00:00-11:59:00","2017/10/18",1
"09:00:00-09:59:00","2017/10/25",1
"08:00:00-08:59:00","2017/10/25",1
"10:00:00-10:59:00","2017/10/26",0
"22:00:00-22:59:00","2017/10/26",1
"08:00:00-08:59:00","2017/10/27",1
"08:00:00-08:59:00","2017/11/14",1
"17:00:00-17:59:00","2017/11/24",1
"15:00:00-15:59:00","2017/11/27",1
"10:00:00-10:59:00","2017/12/11",1
"21:00:00-21:59:00","2017/03/20",1
"13:00:00-13:59:00","2017/04/25",1
"19:00:00-19:59:00","2017/04/26",1
"01:00:00-01:59:00","2017/05/06",1
"16:00:00-16:59:00","2017/05/25",0
"16:00:00-16:59:00","2017/06/12",0
"11:00:00-11:59:00","2017/06/21",1
"09:00:00-09:59:00","2017/06/28",1
"01:00:00-01:59:00","2017/07/01",0
"09:00:00-09:59:00","2017/07/05",1
"20:00:00-20:59:00","2017/07/11",1
"17:00:00-17:59:00","2017/07/13",1
"10:00:00-10:59:00","2017/07/18",1
"15:00:00-15:59:00","2017/07/18",0
"10:00:00-10:59:00","2017/08/11",1
"16:00:00-16:59:00","2017/08/17",1
"03:00:00-03:59:00","2017/08/22",1
"20:00:00-20:59:00","2017/08/23",0
"17:00:00-17:59:00","2017/08/28",1
"18:00:00-18:59:00","2017/08/30",0
"14:00:00-14:59:00","2017/09/06",1
"16:00:00-16:59:00","2017/09/08",1
"17:00:00-17:59:00","2017/09/22",0
"12:00:00-12:59:00","2017/10/01",1
"16:00:00-16:59:00","2017/10/03",1
"10:00:00-10:59:00","2017/10/03",0
"07:00:00-07:59:00","2017/10/05",1
"10:00:00-10:59:00","2017/10/19",0
"18:00:00-18:59:00","2017/10/19",1
"13:00:00-13:59:00","2017/04/05",0
"21:00:00-21:59:00","2017/04/09",1
"18:00:00-18:59:00","2017/04/18",1
"15:00:00-15:59:00","2017/04/20",1
"16:00:00-16:59:00","2017/04/27",1
"09:00:00-09:59:00","2017/05/03",1
"08:00:00-08:59:00","2017/05/17",1
"Non précisé","2017/05/27",1
"16:00:00-16:59:00","2017/06/02",1
"22:00:00-22:59:00","2017/06/05",0
"21:00:00-21:59:00","2017/06/13",1
"07:00:00-07:59:00","2017/06/14",1
"15:00:00-15:59:00","2017/06/28",1
"01:00:00-01:59:00","2017/07/08",1
"12:00:00-12:59:00","2017/07/10",1
"15:00:00-15:59:00","2017/07/12",1
"16:00:00-16:59:00","2017/07/12",1
"09:00:00-09:59:00","2017/06/13",0
"17:00:00-17:59:00","2017/08/08",1
"20:00:00-20:59:00","2017/08/11",1
"Non précisé","2017/08/27",0
"10:00:00-10:59:00","2017/09/13",0
"01:00:00-01:59:00","2017/09/23",0
"07:00:00-07:59:00","2017/09/27",1
"19:00:00-19:59:00","2017/09/30",1
"21:00:00-21:59:00","2017/10/03",1
"17:00:00-17:59:00","2017/10/11",1
"15:00:00-15:59:00","2017/10/18",1
"Non précisé","2017/10/31",1
"21:00:00-21:59:00","2017/11/02",0
"15:00:00-15:59:00","2017/11/07",1
"16:00:00-16:59:00","2017/11/09",1
"12:00:00-12:59:00","2017/11/23",1
"10:00:00-10:59:00","2017/11/25",0
"14:00:00-14:59:00","2017/04/26",1
"18:00:00-18:59:00","2017/05/09",1
"17:00:00-17:59:00","2017/05/31",1
"17:00:00-17:59:00","2017/06/01",0
"02:00:00-02:59:00","2017/06/04",0
"11:00:00-11:59:00","2017/06/10",1
"13:00:00-13:59:00","2017/06/13",1
"19:00:00-19:59:00","2017/06/15",0
"16:00:00-16:59:00","2017/06/23",1
"16:00:00-16:59:00","2017/06/25",0
"14:00:00-14:59:00","2017/06/27",1
"16:00:00-16:59:00","2017/07/07",0
"13:00:00-13:59:00","2017/07/08",2
"10:00:00-10:59:00","2017/08/07",1
"22:00:00-22:59:00","2017/08/19",0
"14:00:00-14:59:00","2017/09/01",1
"10:00:00-10:59:00","2017/09/14",1
"07:00:00-07:59:00","2017/09/28",1
"16:00:00-16:59:00","2017/09/28",1
"15:00:00-15:59:00","2017/10/11",1
"22:00:00-22:59:00","2017/10/18",1
"10:00:00-10:59:00","2017/11/09",1
"11:00:00-11:59:00","2017/11/23",0
"09:00:00-09:59:00","2017/01/16",1
"07:00:00-07:59:00","2017/04/06",0
"17:00:00-17:59:00","2017/04/18",1
"19:00:00-19:59:00","2017/04/25",1
"15:00:00-15:59:00","2017/05/08",0
"21:00:00-21:59:00","2017/05/16",1
"17:00:00-17:59:00","2017/05/23",1
"12:00:00-12:59:00","2017/05/24",1
"16:00:00-16:59:00","2017/06/01",1
"04:00:00-04:59:00","2017/06/10",1
"17:00:00-17:59:00","2017/06/13",1
"16:00:00-16:59:00","2017/06/14",1
"16:00:00-16:59:00","2017/06/18",0
"21:00:00-21:59:00","2017/07/01",1
"17:00:00-17:59:00","2017/07/08",1
"Non précisé","2017/07/10",0
"10:00:00-10:59:00","2017/07/11",0
"00:00:00-00:59:00","2017/07/21",1
"11:00:00-11:59:00","2017/08/11",1
"07:00:00-07:59:00","2017/08/24",1
"18:00:00-18:59:00","2017/08/26",1
"21:00:00-21:59:00","2017/08/27",1
"16:00:00-16:59:00","2017/09/12",1
"21:00:00-21:59:00","2017/09/19",1
"17:00:00-17:59:00","2017/09/26",1
"16:00:00-16:59:00","2017/09/27",1
"18:00:00-18:59:00","2017/09/27",0
"12:00:00-12:59:00","2017/09/29",1
"14:00:00-14:59:00","2017/10/06",1
"09:00:00-09:59:00","2017/10/13",1
"09:00:00-09:59:00","2017/10/20",1
"07:00:00-07:59:00","2017/11/02",0
"17:00:00-17:59:00","2017/01/13",0
"18:00:00-18:59:00","2017/05/22",1
"11:00:00-11:59:00","2017/05/27",1
"12:00:00-12:59:00","2017/06/12",1
"16:00:00-16:59:00","2017/06/14",1
"10:00:00-10:59:00","2017/07/14",0
"18:00:00-18:59:00","2017/07/26",1
"12:00:00-12:59:00","2017/08/01",0
"15:00:00-15:59:00","2017/08/03",0
"07:00:00-07:59:00","2017/08/05",1
"14:00:00-14:59:00","2017/08/18",1
"04:00:00-04:59:00","2017/09/24",1
"16:00:00-16:59:00","2017/10/06",0
"08:00:00-08:59:00","2017/10/27",0
"19:00:00-19:59:00","2017/11/13",1
"18:00:00-18:59:00","2017/02/06",1
"12:00:00-12:59:00","2017/02/20",0
"17:00:00-17:59:00","2017/03/03",1
"16:00:00-16:59:00","2017/03/10",1
"22:00:00-22:59:00","2017/04/05",1
"21:00:00-21:59:00","2017/04/10",1
"18:00:00-18:59:00","2017/04/22",0
"20:00:00-20:59:00","2017/04/25",0
"15:00:00-15:59:00","2017/05/04",1
"20:00:00-20:59:00","2017/05/04",0
"09:00:00-09:59:00","2017/05/06",1
"17:00:00-17:59:00","2017/05/13",0
"16:00:00-16:59:00","2017/05/16",1
"16:00:00-16:59:00","2017/05/15",1
"17:00:00-17:59:00","2017/05/23",1
"19:00:00-19:59:00","2017/05/25",1
"16:00:00-16:59:00","2017/05/27",1
"10:00:00-10:59:00","2017/06/07",1
"19:00:00-19:59:00","2017/06/13",1
"10:00:00-10:59:00","2017/06/14",0
"11:00:00-11:59:00","2017/06/15",1
"11:00:00-11:59:00","2017/06/26",0
"23:00:00-23:59:00","2017/06/28",1
"12:00:00-12:59:00","2017/07/04",1
"07:00:00-07:59:00","2017/07/05",1
"19:00:00-19:59:00","2017/07/11",1
"04:00:00-04:59:00","2017/07/18",1
"14:00:00-14:59:00","2017/07/18",1
"01:00:00-01:59:00","2017/07/19",1
"20:00:00-20:59:00","2017/07/19",1
"08:00:00-08:59:00","2017/07/25",1
"15:00:00-15:59:00","2017/07/28",1
"16:00:00-16:59:00","2017/08/10",0
"16:00:00-16:59:00","2017/08/17",0
"16:00:00-16:59:00","2017/08/19",1
"08:00:00-08:59:00","2017/09/02",1
"08:00:00-08:59:00","2017/09/06",1
"11:00:00-11:59:00","2017/09/14",1
"00:00:00-00:59:00","2017/09/18",1
"07:00:00-07:59:00","2017/09/22",1
"17:00:00-17:59:00","2017/09/22",1
"18:00:00-18:59:00","2017/09/26",1
"16:00:00-16:59:00","2017/09/27",1
"17:00:00-17:59:00","2017/09/27",0
"02:00:00-02:59:00","2017/10/06",1
"18:00:00-18:59:00","2017/10/08",1
