OBJECTID,ID_SERV,INFO,NOM,AIRE_JEUX,ATHLETISME,BASEBALL_S,BASKETBALL,FOOTBALL,JEUX_EAU,RANDONNEE,ROULI_ROUL,SOCCER,SKI_FOND,TENNIS,TOBBOGAN_G,VOLLEY_BALL,PATIN_ROUE,RAQUETTES,PATAUGEOIRE,PISC_EXT,PATINOIRE_E,SUM_SERVICES,Shape_Length,Shape_Area,HECTARES,HaTypo,TypoParcCL6
631,6716.000000000000000,BEACONSFIELD-BAIE D'URFE,ROCKHILL,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,7,717.344156021736920,15186.018099974253000,1.518601809997425,b. 1 à 5 ha,D
632,6796.000000000000000,DORVAL,NEPTUNE,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,422.182312030800180,8470.998949996785100,0.847099894999679,a- Moins de 1 ha,A
633,7219.000000000000000,RIVIERE-DES-PRAIRIES-POINTES-AUX-TREMBLES-MONTREAL-EST,URGEL-CHARBONNEAU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,368.505519460646380,8443.501899996772400,0.844350189999677,a- Moins de 1 ha,A
636,7602.000000000000000,OUTREMONT,MINI-PARC CHAMPAGNEUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105.412320114181010,474.004599992185830,0.047400459999219,a- Moins de 1 ha,A
637,7512.000000000000000,VILLE-MARIE,PARC COLETTE-DEVLIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91.010830067949072,459.005050001421410,0.045900505000142,a- Moins de 1 ha,A
640,7603.000000000000000,OUTREMONT,MINI-PARC QUERBES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.298553761900664,455.003100014733830,0.045500310001473,a- Moins de 1 ha,A
642,7491.000000000000000,VILLE-MARIE,PARC JEAN-CHARBONNEAU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.316179868027490,406.494900008663540,0.040649490000866,a- Moins de 1 ha,A
643,6648.000000000000000,AHUNSTIC-CARTIERVILLE,PARC-ECOLE GLENCOE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,809.051004588692310,27098.987150011828000,2.709898715001183,b. 1 à 5 ha,B
644,7000.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC SQUARE DEZERY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,410.540229527859990,8482.023904897698200,0.848202390489770,a- Moins de 1 ha,A
645,7003.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC MORGAN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,613.141308952476040,22647.001850001856000,2.264700185000186,b. 1 à 5 ha,B
